captured_at_utc,line_id,line_name,mode_name,status_severity,status_severity_description,reason,disruption_category,validity_period_from,validity_period_to
2026-09-24T12:11:35+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays between White City and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due to an earlier signal failure at Leytonstone. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T10:59:17Z,2026-09-25T00:29:00Z
2026-09-24T12:11:35+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays between White City and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due to an earlier signal failure at Leytonstone. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T10:59:17Z,2026-09-25T00:29:00Z
2026-09-24T12:11:35+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays between White City and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due to an earlier signal failure at Leytonstone. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T10:59:17Z,2026-09-25T00:29:00Z
2026-09-24T12:11:35+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays between White City and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due to an earlier signal failure at Leytonstone. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T10:59:17Z,2026-09-25T00:29:00Z
2026-09-24T12:11:35+00:00,circle,Circle,tube,10,Good Service,,,,
2026-09-24T12:11:35+00:00,district,District,tube,10,Good Service,,,,
2026-09-24T12:11:35+00:00,hammersmith-city,Hammersmith & City,tube,10,Good Service,,,,
2026-09-24T12:11:35+00:00,jubilee,Jubilee,tube,10,Good Service,,,,
2026-09-24T12:11:35+00:00,metropolitan,Metropolitan,tube,10,Good Service,,,,
2026-09-24T12:11:35+00:00,northern,Northern,tube,10,Good Service,,,,
2026-09-24T12:11:35+00:00,piccadilly,Piccadilly,tube,10,Good Service,,,,
2026-09-24T12:11:35+00:00,victoria,Victoria,tube,9,Minor Delays,Victoria Line: Minor delays due to an earlier faulty train at Pimlico.,RealTime,2026-09-24T06:45:14Z,2026-09-25T00:29:00Z
2026-09-24T12:11:35+00:00,waterloo-city,Waterloo & City,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,bakerloo,Bakerloo,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays between White City and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due train cancellations. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T13:32:46Z,2026-09-25T00:29:00Z
2026-09-24T17:19:54+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays between White City and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due train cancellations. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T13:32:46Z,2026-09-25T00:29:00Z
